model_name,fold_id,horizon,horizon_step,target_date,point_forecast,actual,residual,abs_error
naive,1,7,7,2024-08-13,2.0,1.0,-1.0,1.0
naive,1,7,7,2024-08-13,12.0,7.0,-5.0,5.0
naive,1,7,7,2024-08-13,1.0,2.0,1.0,1.0
naive,1,7,7,2024-08-13,1.0,1.0,0.0,0.0
naive,1,7,7,2024-08-13,2.0,4.0,2.0,2.0
naive,1,7,7,2024-08-13,3.0,1.0,-2.0,2.0
naive,1,7,7,2024-08-13,3.0,2.0,-1.0,1.0
naive,1,7,7,2024-08-13,4.0,2.0,-2.0,2.0
naive,1,7,7,2024-08-13,1.0,1.0,0.0,0.0
naive,1,7,7,2024-08-13,1.0,1.0,0.0,0.0
naive,1,7,7,2024-08-13,2.0,1.0,-1.0,1.0
naive,1,7,7,2024-08-13,3.0,3.0,0.0,0.0
naive,1,7,7,2024-08-13,1.0,2.0,1.0,1.0
naive,1,7,7,2024-08-13,1.0,4.0,3.0,3.0
naive,1,7,7,2024-08-13,6.0,2.0,-4.0,4.0
naive,1,7,7,2024-08-13,6.0,3.0,-3.0,3.0
naive,1,7,7,2024-08-13,6.0,15.0,9.0,9.0
naive,1,7,7,2024-08-13,7.0,7.0,0.0,0.0
naive,1,7,7,2024-08-13,5.0,7.0,2.0,2.0
naive,1,7,7,2024-08-13,10.0,7.0,-3.0,3.0
naive,1,7,7,2024-08-13,7.0,8.0,1.0,1.0
naive,1,7,7,2024-08-13,3.0,4.0,1.0,1.0
naive,1,7,7,2024-08-13,2.0,5.0,3.0,3.0
naive,1,7,7,2024-08-13,9.0,10.0,1.0,1.0
naive,1,7,7,2024-08-13,6.0,7.0,1.0,1.0
naive,1,7,7,2024-08-13,26.0,21.0,-5.0,5.0
naive,1,7,7,2024-08-13,7.0,10.0,3.0,3.0
naive,1,30,1,2024-08-07,16.0,28.0,12.0,12.0
naive,1,30,1,2024-08-07,28.0,14.0,-14.0,14.0
naive,1,30,1,2024-08-07,6.0,13.0,7.0,7.0
naive,1,30,1,2024-08-07,5.0,9.0,4.0,4.0
naive,1,30,1,2024-08-07,1.0,1.0,0.0,0.0
naive,1,30,1,2024-08-07,7.0,5.0,-2.0,2.0
naive,1,30,1,2024-08-07,18.0,17.0,-1.0,1.0
naive,1,30,1,2024-08-07,3.0,1.0,-2.0,2.0
naive,1,30,1,2024-08-07,13.0,4.0,-9.0,9.0
naive,1,30,1,2024-08-07,3.0,8.0,5.0,5.0
naive,1,30,1,2024-08-07,5.0,2.0,-3.0,3.0
naive,1,30,1,2024-08-07,17.0,7.0,-10.0,10.0
naive,1,30,1,2024-08-07,3.0,2.0,-1.0,1.0
naive,1,30,1,2024-08-07,3.0,4.0,1.0,1.0
naive,1,30,1,2024-08-07,4.0,2.0,-2.0,2.0
naive,1,30,1,2024-08-07,15.0,4.0,-11.0,11.0
naive,1,30,1,2024-08-07,1.0,1.0,0.0,0.0
naive,1,30,1,2024-08-07,16.0,27.0,11.0,11.0
naive,1,30,1,2024-08-07,10.0,11.0,1.0,1.0
naive,1,30,1,2024-08-07,9.0,8.0,-1.0,1.0
naive,1,30,1,2024-08-07,2.0,5.0,3.0,3.0
naive,1,30,1,2024-08-07,17.0,24.0,7.0,7.0
naive,1,30,1,2024-08-07,10.0,4.0,-6.0,6.0
naive,1,30,1,2024-08-07,1.0,3.0,2.0,2.0
naive,1,30,1,2024-08-07,12.0,16.0,4.0,4.0
naive,1,30,1,2024-08-07,3.0,7.0,4.0,4.0
naive,1,30,1,2024-08-07,6.0,5.0,-1.0,1.0
naive,1,30,1,2024-08-07,4.0,3.0,-1.0,1.0
naive,1,30,1,2024-08-07,3.0,4.0,1.0,1.0
naive,1,30,1,2024-08-07,4.0,4.0,0.0,0.0
naive,1,30,1,2024-08-07,9.0,7.0,-2.0,2.0
naive,1,30,1,2024-08-07,1.0,5.0,4.0,4.0
naive,1,30,1,2024-08-07,2.0,4.0,2.0,2.0
naive,1,30,1,2024-08-07,3.0,4.0,1.0,1.0
naive,1,30,1,2024-08-07,1.0,5.0,4.0,4.0
naive,1,30,1,2024-08-07,8.0,12.0,4.0,4.0
naive,1,30,1,2024-08-07,3.0,2.0,-1.0,1.0
naive,1,30,1,2024-08-07,2.0,9.0,7.0,7.0
naive,1,30,1,2024-08-07,8.0,8.0,0.0,0.0
naive,1,30,1,2024-08-07,14.0,13.0,-1.0,1.0
naive,1,30,1,2024-08-07,30.0,46.0,16.0,16.0
naive,1,30,1,2024-08-07,2.0,4.0,2.0,2.0
naive,1,30,1,2024-08-07,1.0,1.0,0.0,0.0
naive,1,30,1,2024-08-07,3.0,3.0,0.0,0.0
naive,1,30,1,2024-08-07,6.0,2.0,-4.0,4.0
naive,1,30,1,2024-08-07,4.0,7.0,3.0,3.0
naive,1,30,1,2024-08-07,4.0,4.0,0.0,0.0
naive,1,30,1,2024-08-07,5.0,6.0,1.0,1.0
naive,1,30,1,2024-08-07,8.0,3.0,-5.0,5.0
naive,1,30,1,2024-08-07,11.0,12.0,1.0,1.0
naive,1,30,1,2024-08-07,11.0,12.0,1.0,1.0
naive,1,30,1,2024-08-07,9.0,3.0,-6.0,6.0
naive,1,30,1,2024-08-07,15.0,26.0,11.0,11.0
naive,1,30,1,2024-08-07,60.0,38.0,-22.0,22.0
naive,1,30,1,2024-08-07,16.0,14.0,-2.0,2.0
naive,1,30,1,2024-08-07,12.0,23.0,11.0,11.0
naive,1,30,1,2024-08-07,78.0,72.0,-6.0,6.0
naive,1,30,1,2024-08-07,53.0,47.0,-6.0,6.0
naive,1,30,1,2024-08-07,14.0,6.0,-8.0,8.0
naive,1,30,1,2024-08-07,3.0,6.0,3.0,3.0
naive,1,30,1,2024-08-07,6.0,3.0,-3.0,3.0
naive,1,30,1,2024-08-07,2.0,3.0,1.0,1.0
naive,1,30,1,2024-08-07,3.0,2.0,-1.0,1.0
naive,1,30,1,2024-08-07,1.0,2.0,1.0,1.0
naive,1,30,1,2024-08-07,2.0,3.0,1.0,1.0
naive,1,30,1,2024-08-07,6.0,4.0,-2.0,2.0
naive,1,30,1,2024-08-07,4.0,6.0,2.0,2.0
naive,1,30,1,2024-08-07,2.0,2.0,0.0,0.0
naive,1,30,1,2024-08-07,1.0,3.0,2.0,2.0
naive,1,30,1,2024-08-07,9.0,2.0,-7.0,7.0
naive,1,30,1,2024-08-07,3.0,5.0,2.0,2.0
naive,1,30,1,2024-08-07,8.0,10.0,2.0,2.0
naive,1,30,1,2024-08-07,2.0,2.0,0.0,0.0
naive,1,30,1,2024-08-07,3.0,1.0,-2.0,2.0
naive,1,30,1,2024-08-07,2.0,4.0,2.0,2.0
naive,1,30,1,2024-08-07,2.0,1.0,-1.0,1.0
naive,1,30,1,2024-08-07,1.0,2.0,1.0,1.0
naive,1,30,1,2024-08-07,2.0,3.0,1.0,1.0
naive,1,30,1,2024-08-07,1.0,3.0,2.0,2.0
naive,1,30,1,2024-08-07,1.0,3.0,2.0,2.0
naive,1,30,1,2024-08-07,2.0,8.0,6.0,6.0
naive,1,30,1,2024-08-07,3.0,1.0,-2.0,2.0
naive,1,30,1,2024-08-07,4.0,2.0,-2.0,2.0
naive,1,30,1,2024-08-07,2.0,2.0,0.0,0.0
naive,1,30,1,2024-08-07,2.0,2.0,0.0,0.0
naive,1,30,1,2024-08-07,1.0,2.0,1.0,1.0
naive,1,30,1,2024-08-07,2.0,2.0,0.0,0.0
naive,1,30,1,2024-08-07,7.0,4.0,-3.0,3.0
naive,1,30,1,2024-08-07,1.0,1.0,0.0,0.0
naive,1,30,1,2024-08-07,1.0,4.0,3.0,3.0
naive,1,30,1,2024-08-07,9.0,4.0,-5.0,5.0
naive,1,30,1,2024-08-07,3.0,4.0,1.0,1.0
naive,1,30,1,2024-08-07,2.0,1.0,-1.0,1.0
naive,1,30,1,2024-08-07,2.0,3.0,1.0,1.0
naive,1,30,1,2024-08-07,2.0,3.0,1.0,1.0
naive,1,30,1,2024-08-07,1.0,2.0,1.0,1.0
naive,1,30,1,2024-08-07,2.0,3.0,1.0,1.0
naive,1,30,1,2024-08-07,5.0,2.0,-3.0,3.0
naive,1,30,1,2024-08-07,5.0,3.0,-2.0,2.0
naive,1,30,1,2024-08-07,3.0,4.0,1.0,1.0
naive,1,30,1,2024-08-07,1.0,1.0,0.0,0.0
naive,1,30,1,2024-08-07,1.0,2.0,1.0,1.0
naive,1,30,1,2024-08-07,3.0,1.0,-2.0,2.0
naive,1,30,1,2024-08-07,3.0,3.0,0.0,0.0
naive,1,30,1,2024-08-07,3.0,2.0,-1.0,1.0
naive,1,30,1,2024-08-07,3.0,2.0,-1.0,1.0
naive,1,30,1,2024-08-07,2.0,2.0,0.0,0.0
naive,1,30,1,2024-08-07,2.0,2.0,0.0,0.0
naive,1,30,1,2024-08-07,5.0,7.0,2.0,2.0
naive,1,30,1,2024-08-07,4.0,4.0,0.0,0.0
naive,1,30,1,2024-08-07,1.0,1.0,0.0,0.0
naive,1,30,1,2024-08-07,1.0,1.0,0.0,0.0
naive,1,30,1,2024-08-07,1.0,3.0,2.0,2.0
naive,1,30,1,2024-08-07,4.0,1.0,-3.0,3.0
naive,1,30,1,2024-08-07,2.0,4.0,2.0,2.0
naive,1,30,1,2024-08-07,4.0,3.0,-1.0,1.0
naive,1,30,1,2024-08-07,3.0,4.0,1.0,1.0
naive,1,30,1,2024-08-07,7.0,18.0,11.0,11.0
naive,1,30,1,2024-08-07,3.0,1.0,-2.0,2.0
naive,1,30,1,2024-08-07,15.0,15.0,0.0,0.0
naive,1,30,1,2024-08-07,1.0,1.0,0.0,0.0
naive,1,30,1,2024-08-07,1.0,2.0,1.0,1.0
naive,1,30,1,2024-08-07,1.0,11.0,10.0,10.0
naive,1,30,1,2024-08-07,3.0,4.0,1.0,1.0
naive,1,30,1,2024-08-07,3.0,2.0,-1.0,1.0
naive,1,30,1,2024-08-07,4.0,4.0,0.0,0.0
naive,1,30,1,2024-08-07,6.0,10.0,4.0,4.0
naive,1,30,1,2024-08-07,3.0,1.0,-2.0,2.0
naive,1,30,1,2024-08-07,1.0,3.0,2.0,2.0
naive,1,30,1,2024-08-07,3.0,5.0,2.0,2.0
naive,1,30,1,2024-08-07,1.0,1.0,0.0,0.0
naive,1,30,1,2024-08-07,17.0,11.0,-6.0,6.0
naive,1,30,1,2024-08-07,3.0,4.0,1.0,1.0
naive,1,30,1,2024-08-07,1.0,4.0,3.0,3.0
naive,1,30,1,2024-08-07,7.0,11.0,4.0,4.0
naive,1,30,1,2024-08-07,5.0,1.0,-4.0,4.0
naive,1,30,1,2024-08-07,17.0,5.0,-12.0,12.0
naive,1,30,1,2024-08-07,2.0,1.0,-1.0,1.0
naive,1,30,1,2024-08-07,1.0,5.0,4.0,4.0
naive,1,30,1,2024-08-07,2.0,2.0,0.0,0.0
naive,1,30,1,2024-08-07,21.0,16.0,-5.0,5.0
naive,1,30,1,2024-08-07,17.0,18.0,1.0,1.0
naive,1,30,1,2024-08-07,7.0,4.0,-3.0,3.0
naive,1,30,1,2024-08-07,9.0,8.0,-1.0,1.0
naive,1,30,1,2024-08-07,8.0,8.0,0.0,0.0
naive,1,30,1,2024-08-07,6.0,14.0,8.0,8.0
naive,1,30,1,2024-08-07,2.0,2.0,0.0,0.0
naive,1,30,1,2024-08-07,4.0,3.0,-1.0,1.0
naive,1,30,1,2024-08-07,2.0,4.0,2.0,2.0
naive,1,30,1,2024-08-07,5.0,10.0,5.0,5.0
naive,1,30,1,2024-08-07,9.0,10.0,1.0,1.0
naive,1,30,1,2024-08-07,2.0,2.0,0.0,0.0
naive,1,30,1,2024-08-07,2.0,3.0,1.0,1.0
naive,1,30,1,2024-08-07,13.0,14.0,1.0,1.0
naive,1,30,1,2024-08-07,2.0,2.0,0.0,0.0
naive,1,30,1,2024-08-07,1.0,2.0,1.0,1.0
naive,1,30,1,2024-08-07,6.0,4.0,-2.0,2.0
naive,1,30,1,2024-08-07,1.0,1.0,0.0,0.0
naive,1,30,1,2024-08-07,7.0,14.0,7.0,7.0
naive,1,30,1,2024-08-07,7.0,11.0,4.0,4.0
naive,1,30,1,2024-08-07,1.0,4.0,3.0,3.0
naive,1,30,1,2024-08-07,13.0,7.0,-6.0,6.0
naive,1,30,1,2024-08-07,4.0,4.0,0.0,0.0
naive,1,30,1,2024-08-07,5.0,7.0,2.0,2.0
naive,1,30,1,2024-08-07,5.0,2.0,-3.0,3.0
naive,1,30,1,2024-08-07,2.0,5.0,3.0,3.0
naive,1,30,1,2024-08-07,1.0,7.0,6.0,6.0
naive,1,30,1,2024-08-07,1.0,3.0,2.0,2.0
naive,1,30,1,2024-08-07,1.0,1.0,0.0,0.0
naive,1,30,1,2024-08-07,3.0,5.0,2.0,2.0
naive,1,30,1,2024-08-07,8.0,11.0,3.0,3.0
naive,1,30,1,2024-08-07,2.0,1.0,-1.0,1.0
naive,1,30,1,2024-08-07,12.0,11.0,-1.0,1.0
naive,1,30,1,2024-08-07,1.0,3.0,2.0,2.0
naive,1,30,1,2024-08-07,1.0,1.0,0.0,0.0
naive,1,30,1,2024-08-07,2.0,3.0,1.0,1.0
naive,1,30,1,2024-08-07,3.0,1.0,-2.0,2.0
naive,1,30,1,2024-08-07,3.0,4.0,1.0,1.0
naive,1,30,1,2024-08-07,4.0,1.0,-3.0,3.0
naive,1,30,1,2024-08-07,1.0,1.0,0.0,0.0
naive,1,30,1,2024-08-07,2.0,2.0,0.0,0.0
naive,1,30,1,2024-08-07,3.0,4.0,1.0,1.0
naive,1,30,1,2024-08-07,1.0,2.0,1.0,1.0
naive,1,30,1,2024-08-07,1.0,2.0,1.0,1.0
naive,1,30,1,2024-08-07,6.0,1.0,-5.0,5.0
naive,1,30,1,2024-08-07,6.0,4.0,-2.0,2.0
naive,1,30,1,2024-08-07,6.0,7.0,1.0,1.0
naive,1,30,1,2024-08-07,7.0,7.0,0.0,0.0
naive,1,30,1,2024-08-07,5.0,4.0,-1.0,1.0
naive,1,30,1,2024-08-07,10.0,1.0,-9.0,9.0
naive,1,30,1,2024-08-07,7.0,10.0,3.0,3.0
naive,1,30,1,2024-08-07,3.0,4.0,1.0,1.0
naive,1,30,1,2024-08-07,2.0,3.0,1.0,1.0
naive,1,30,1,2024-08-07,9.0,8.0,-1.0,1.0
naive,1,30,1,2024-08-07,6.0,4.0,-2.0,2.0
naive,1,30,1,2024-08-07,2.0,2.0,0.0,0.0
naive,1,30,1,2024-08-07,26.0,19.0,-7.0,7.0
naive,1,30,1,2024-08-07,7.0,8.0,1.0,1.0
naive,1,30,2,2024-08-08,16.0,31.0,15.0,15.0
naive,1,30,2,2024-08-08,28.0,37.0,9.0,9.0
naive,1,30,2,2024-08-08,6.0,2.0,-4.0,4.0
naive,1,30,2,2024-08-08,5.0,10.0,5.0,5.0
naive,1,30,2,2024-08-08,1.0,4.0,3.0,3.0
naive,1,30,2,2024-08-08,7.0,5.0,-2.0,2.0
naive,1,30,2,2024-08-08,18.0,8.0,-10.0,10.0
naive,1,30,2,2024-08-08,3.0,5.0,2.0,2.0
naive,1,30,2,2024-08-08,13.0,6.0,-7.0,7.0
naive,1,30,2,2024-08-08,3.0,3.0,0.0,0.0
naive,1,30,2,2024-08-08,5.0,4.0,-1.0,1.0
naive,1,30,2,2024-08-08,17.0,6.0,-11.0,11.0
naive,1,30,2,2024-08-08,3.0,3.0,0.0,0.0
naive,1,30,2,2024-08-08,3.0,2.0,-1.0,1.0
naive,1,30,2,2024-08-08,4.0,3.0,-1.0,1.0
naive,1,30,2,2024-08-08,15.0,7.0,-8.0,8.0
naive,1,30,2,2024-08-08,1.0,5.0,4.0,4.0
naive,1,30,2,2024-08-08,16.0,8.0,-8.0,8.0
naive,1,30,2,2024-08-08,10.0,10.0,0.0,0.0
naive,1,30,2,2024-08-08,9.0,7.0,-2.0,2.0
naive,1,30,2,2024-08-08,2.0,7.0,5.0,5.0
naive,1,30,2,2024-08-08,17.0,23.0,6.0,6.0
naive,1,30,2,2024-08-08,5.0,2.0,-3.0,3.0
naive,1,30,2,2024-08-08,10.0,8.0,-2.0,2.0
naive,1,30,2,2024-08-08,1.0,1.0,0.0,0.0
naive,1,30,2,2024-08-08,12.0,13.0,1.0,1.0
naive,1,30,2,2024-08-08,3.0,11.0,8.0,8.0
naive,1,30,2,2024-08-08,6.0,9.0,3.0,3.0
naive,1,30,2,2024-08-08,4.0,2.0,-2.0,2.0
naive,1,30,2,2024-08-08,3.0,5.0,2.0,2.0
naive,1,30,2,2024-08-08,4.0,2.0,-2.0,2.0
naive,1,30,2,2024-08-08,9.0,4.0,-5.0,5.0
naive,1,30,2,2024-08-08,1.0,2.0,1.0,1.0
naive,1,30,2,2024-08-08,2.0,3.0,1.0,1.0
naive,1,30,2,2024-08-08,3.0,3.0,0.0,0.0
naive,1,30,2,2024-08-08,1.0,5.0,4.0,4.0
naive,1,30,2,2024-08-08,8.0,22.0,14.0,14.0
naive,1,30,2,2024-08-08,3.0,1.0,-2.0,2.0
naive,1,30,2,2024-08-08,2.0,4.0,2.0,2.0
naive,1,30,2,2024-08-08,8.0,12.0,4.0,4.0
naive,1,30,2,2024-08-08,14.0,8.0,-6.0,6.0
naive,1,30,2,2024-08-08,30.0,36.0,6.0,6.0
naive,1,30,2,2024-08-08,2.0,6.0,4.0,4.0
naive,1,30,2,2024-08-08,3.0,6.0,3.0,3.0
naive,1,30,2,2024-08-08,6.0,2.0,-4.0,4.0
naive,1,30,2,2024-08-08,2.0,1.0,-1.0,1.0
naive,1,30,2,2024-08-08,2.0,1.0,-1.0,1.0
naive,1,30,2,2024-08-08,4.0,11.0,7.0,7.0
naive,1,30,2,2024-08-08,4.0,4.0,0.0,0.0
naive,1,30,2,2024-08-08,5.0,6.0,1.0,1.0
naive,1,30,2,2024-08-08,8.0,3.0,-5.0,5.0
naive,1,30,2,2024-08-08,11.0,8.0,-3.0,3.0
naive,1,30,2,2024-08-08,11.0,10.0,-1.0,1.0
naive,1,30,2,2024-08-08,9.0,1.0,-8.0,8.0
naive,1,30,2,2024-08-08,15.0,16.0,1.0,1.0
naive,1,30,2,2024-08-08,60.0,51.0,-9.0,9.0
naive,1,30,2,2024-08-08,16.0,10.0,-6.0,6.0
naive,1,30,2,2024-08-08,12.0,20.0,8.0,8.0
naive,1,30,2,2024-08-08,2.0,3.0,1.0,1.0
naive,1,30,2,2024-08-08,78.0,74.0,-4.0,4.0
naive,1,30,2,2024-08-08,53.0,70.0,17.0,17.0
naive,1,30,2,2024-08-08,14.0,10.0,-4.0,4.0
naive,1,30,2,2024-08-08,3.0,4.0,1.0,1.0
naive,1,30,2,2024-08-08,6.0,3.0,-3.0,3.0
naive,1,30,2,2024-08-08,2.0,1.0,-1.0,1.0
naive,1,30,2,2024-08-08,3.0,1.0,-2.0,2.0
naive,1,30,2,2024-08-08,2.0,1.0,-1.0,1.0
naive,1,30,2,2024-08-08,2.0,1.0,-1.0,1.0
naive,1,30,2,2024-08-08,6.0,6.0,0.0,0.0
naive,1,30,2,2024-08-08,4.0,6.0,2.0,2.0
naive,1,30,2,2024-08-08,2.0,4.0,2.0,2.0
naive,1,30,2,2024-08-08,1.0,6.0,5.0,5.0
naive,1,30,2,2024-08-08,9.0,2.0,-7.0,7.0
naive,1,30,2,2024-08-08,3.0,5.0,2.0,2.0
naive,1,30,2,2024-08-08,8.0,3.0,-5.0,5.0
naive,1,30,2,2024-08-08,2.0,5.0,3.0,3.0
naive,1,30,2,2024-08-08,3.0,3.0,0.0,0.0
naive,1,30,2,2024-08-08,2.0,3.0,1.0,1.0
naive,1,30,2,2024-08-08,2.0,2.0,0.0,0.0
naive,1,30,2,2024-08-08,2.0,2.0,0.0,0.0
naive,1,30,2,2024-08-08,1.0,3.0,2.0,2.0
naive,1,30,2,2024-08-08,2.0,8.0,6.0,6.0
naive,1,30,2,2024-08-08,2.0,1.0,-1.0,1.0
naive,1,30,2,2024-08-08,1.0,5.0,4.0,4.0
naive,1,30,2,2024-08-08,1.0,3.0,2.0,2.0
naive,1,30,2,2024-08-08,2.0,3.0,1.0,1.0
naive,1,30,2,2024-08-08,2.0,1.0,-1.0,1.0
naive,1,30,2,2024-08-08,3.0,1.0,-2.0,2.0
naive,1,30,2,2024-08-08,4.0,2.0,-2.0,2.0
naive,1,30,2,2024-08-08,2.0,4.0,2.0,2.0
naive,1,30,2,2024-08-08,2.0,3.0,1.0,1.0
naive,1,30,2,2024-08-08,1.0,2.0,1.0,1.0
naive,1,30,2,2024-08-08,1.0,1.0,0.0,0.0
naive,1,30,2,2024-08-08,2.0,2.0,0.0,0.0
naive,1,30,2,2024-08-08,7.0,3.0,-4.0,4.0
naive,1,30,2,2024-08-08,1.0,1.0,0.0,0.0
naive,1,30,2,2024-08-08,3.0,2.0,-1.0,1.0
naive,1,30,2,2024-08-08,9.0,7.0,-2.0,2.0
naive,1,30,2,2024-08-08,3.0,3.0,0.0,0.0
naive,1,30,2,2024-08-08,2.0,2.0,0.0,0.0
naive,1,30,2,2024-08-08,2.0,4.0,2.0,2.0
naive,1,30,2,2024-08-08,2.0,4.0,2.0,2.0
naive,1,30,2,2024-08-08,1.0,3.0,2.0,2.0
naive,1,30,2,2024-08-08,2.0,3.0,1.0,1.0
naive,1,30,2,2024-08-08,5.0,2.0,-3.0,3.0
naive,1,30,2,2024-08-08,5.0,3.0,-2.0,2.0
naive,1,30,2,2024-08-08,3.0,3.0,0.0,0.0
naive,1,30,2,2024-08-08,1.0,1.0,0.0,0.0
naive,1,30,2,2024-08-08,1.0,1.0,0.0,0.0
naive,1,30,2,2024-08-08,3.0,2.0,-1.0,1.0
naive,1,30,2,2024-08-08,3.0,2.0,-1.0,1.0
naive,1,30,2,2024-08-08,3.0,2.0,-1.0,1.0
naive,1,30,2,2024-08-08,2.0,1.0,-1.0,1.0
naive,1,30,2,2024-08-08,3.0,3.0,0.0,0.0
naive,1,30,2,2024-08-08,2.0,1.0,-1.0,1.0
naive,1,30,2,2024-08-08,5.0,4.0,-1.0,1.0
naive,1,30,2,2024-08-08,4.0,4.0,0.0,0.0
naive,1,30,2,2024-08-08,1.0,2.0,1.0,1.0
naive,1,30,2,2024-08-08,1.0,2.0,1.0,1.0
naive,1,30,2,2024-08-08,4.0,2.0,-2.0,2.0
naive,1,30,2,2024-08-08,2.0,2.0,0.0,0.0
naive,1,30,2,2024-08-08,4.0,1.0,-3.0,3.0
naive,1,30,2,2024-08-08,3.0,5.0,2.0,2.0
naive,1,30,2,2024-08-08,7.0,23.0,16.0,16.0
naive,1,30,2,2024-08-08,3.0,1.0,-2.0,2.0
naive,1,30,2,2024-08-08,15.0,13.0,-2.0,2.0
naive,1,30,2,2024-08-08,1.0,5.0,4.0,4.0
naive,1,30,2,2024-08-08,2.0,3.0,1.0,1.0
naive,1,30,2,2024-08-08,1.0,3.0,2.0,2.0
naive,1,30,2,2024-08-08,1.0,6.0,5.0,5.0
naive,1,30,2,2024-08-08,3.0,3.0,0.0,0.0
naive,1,30,2,2024-08-08,3.0,5.0,2.0,2.0
naive,1,30,2,2024-08-08,4.0,5.0,1.0,1.0
naive,1,30,2,2024-08-08,6.0,15.0,9.0,9.0
naive,1,30,2,2024-08-08,3.0,4.0,1.0,1.0
naive,1,30,2,2024-08-08,1.0,6.0,5.0,5.0
naive,1,30,2,2024-08-08,3.0,4.0,1.0,1.0
naive,1,30,2,2024-08-08,2.0,1.0,-1.0,1.0
naive,1,30,2,2024-08-08,1.0,3.0,2.0,2.0
naive,1,30,2,2024-08-08,17.0,17.0,0.0,0.0
naive,1,30,2,2024-08-08,3.0,4.0,1.0,1.0
naive,1,30,2,2024-08-08,1.0,3.0,2.0,2.0
naive,1,30,2,2024-08-08,1.0,1.0,0.0,0.0
naive,1,30,2,2024-08-08,7.0,17.0,10.0,10.0
naive,1,30,2,2024-08-08,2.0,4.0,2.0,2.0
naive,1,30,2,2024-08-08,5.0,2.0,-3.0,3.0
naive,1,30,2,2024-08-08,17.0,1.0,-16.0,16.0
naive,1,30,2,2024-08-08,2.0,1.0,-1.0,1.0
naive,1,30,2,2024-08-08,1.0,2.0,1.0,1.0
naive,1,30,2,2024-08-08,2.0,1.0,-1.0,1.0
naive,1,30,2,2024-08-08,21.0,26.0,5.0,5.0
naive,1,30,2,2024-08-08,17.0,14.0,-3.0,3.0
naive,1,30,2,2024-08-08,7.0,3.0,-4.0,4.0
naive,1,30,2,2024-08-08,9.0,10.0,1.0,1.0
naive,1,30,2,2024-08-08,8.0,9.0,1.0,1.0
naive,1,30,2,2024-08-08,6.0,11.0,5.0,5.0
naive,1,30,2,2024-08-08,2.0,2.0,0.0,0.0
naive,1,30,2,2024-08-08,4.0,2.0,-2.0,2.0
naive,1,30,2,2024-08-08,2.0,2.0,0.0,0.0
naive,1,30,2,2024-08-08,5.0,10.0,5.0,5.0
naive,1,30,2,2024-08-08,9.0,7.0,-2.0,2.0
naive,1,30,2,2024-08-08,2.0,2.0,0.0,0.0
naive,1,30,2,2024-08-08,2.0,2.0,0.0,0.0
naive,1,30,2,2024-08-08,13.0,21.0,8.0,8.0
naive,1,30,2,2024-08-08,1.0,1.0,0.0,0.0
naive,1,30,2,2024-08-08,6.0,3.0,-3.0,3.0
naive,1,30,2,2024-08-08,1.0,2.0,1.0,1.0
naive,1,30,2,2024-08-08,7.0,9.0,2.0,2.0
naive,1,30,2,2024-08-08,7.0,6.0,-1.0,1.0
naive,1,30,2,2024-08-08,1.0,3.0,2.0,2.0
naive,1,30,2,2024-08-08,13.0,12.0,-1.0,1.0
naive,1,30,2,2024-08-08,4.0,7.0,3.0,3.0
naive,1,30,2,2024-08-08,5.0,7.0,2.0,2.0
naive,1,30,2,2024-08-08,5.0,4.0,-1.0,1.0
naive,1,30,2,2024-08-08,2.0,4.0,2.0,2.0
naive,1,30,2,2024-08-08,1.0,1.0,0.0,0.0
naive,1,30,2,2024-08-08,1.0,4.0,3.0,3.0
naive,1,30,2,2024-08-08,1.0,3.0,2.0,2.0
naive,1,30,2,2024-08-08,3.0,2.0,-1.0,1.0
naive,1,30,2,2024-08-08,8.0,9.0,1.0,1.0
naive,1,30,2,2024-08-08,2.0,1.0,-1.0,1.0
naive,1,30,2,2024-08-08,12.0,11.0,-1.0,1.0
naive,1,30,2,2024-08-08,1.0,2.0,1.0,1.0
naive,1,30,2,2024-08-08,1.0,2.0,1.0,1.0
naive,1,30,2,2024-08-08,2.0,3.0,1.0,1.0
naive,1,30,2,2024-08-08,3.0,4.0,1.0,1.0
naive,1,30,2,2024-08-08,3.0,1.0,-2.0,2.0
naive,1,30,2,2024-08-08,4.0,5.0,1.0,1.0
naive,1,30,2,2024-08-08,1.0,2.0,1.0,1.0
naive,1,30,2,2024-08-08,1.0,2.0,1.0,1.0
naive,1,30,2,2024-08-08,1.0,2.0,1.0,1.0
naive,1,30,2,2024-08-08,3.0,2.0,-1.0,1.0
naive,1,30,2,2024-08-08,1.0,3.0,2.0,2.0
naive,1,30,2,2024-08-08,1.0,6.0,5.0,5.0
naive,1,30,2,2024-08-08,6.0,1.0,-5.0,5.0
naive,1,30,2,2024-08-08,6.0,2.0,-4.0,4.0
naive,1,30,2,2024-08-08,6.0,14.0,8.0,8.0
naive,1,30,2,2024-08-08,7.0,10.0,3.0,3.0
naive,1,30,2,2024-08-08,5.0,9.0,4.0,4.0
naive,1,30,2,2024-08-08,10.0,2.0,-8.0,8.0
naive,1,30,2,2024-08-08,7.0,4.0,-3.0,3.0
naive,1,30,2,2024-08-08,3.0,5.0,2.0,2.0
naive,1,30,2,2024-08-08,2.0,4.0,2.0,2.0
naive,1,30,2,2024-08-08,9.0,6.0,-3.0,3.0
naive,1,30,2,2024-08-08,6.0,1.0,-5.0,5.0
naive,1,30,2,2024-08-08,2.0,2.0,0.0,0.0
